date,platform,sort_type,rank,product_name,brand,volume_ml,regular_price,discount,sales_price,rating,review_count,main_ingredients,ingredients,ing_source,url,standard_ingredients
2026-05-01,oliveyoung,신상품순,1,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스,50ml,28000,15%,23800,,,"블루 펩타이드, 바쿠치올","정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 베타인, 다이에톡시에틸석시네이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이메티콘, 카퍼트라이펩타이드-1(0.5%), 폴리글리세릴-6카프릴레이트, 폴리글리세릴-4카프레이트, 바쿠치올(0.25%), 하이드로제네이티드레시틴, 에탄올, 소듐메틸스테아로일타우레이트, 에틸헥실글리세린, 하이드록시프로필스타치포스페이트, 다이소듐이디티에이, 아데노신, 카프릴릴글라이콜, 토코페롤, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트(0.5 ppm), 아세틸헥사펩타이드-1(0.1 ppm), 아세틸헵타펩타이드-4(0.0457 ppm), 판테놀, 이노시톨, 아세틸헥사펩타이드-8(0.004 ppm), 소듐하이드록사이드, 프로판다이올, 베타-글루칸, 소듐하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드콜라겐, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 아세틸옥타펩타이드-3(0.0003 ppm)",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1,"펩타이드, 바쿠치올"
2026-05-01,oliveyoung,신상품순,2,퓨어그램 오리진 부스터샷 300 앰플 30ml,퓨어그램,30ml,,,10000,,,"스피큘, 세라마이드, 하이알루론산","정제수, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 소듐폴리아크릴레이트, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아이소부텐, 하이드록시아세토페논, 하이드롤라이즈드해면, 잔탄검, 에틸헥실글리세린, 아데노신, 솔비탄올리에이트, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 마카다미아씨오일, 카프릴릭/카프릭트라이글리세라이드, 바오밥나무씨오일, 하이드로제네이티드레시틴, 세라마이드엔피, 소듐하이알루로네이트, 세라마이드에이에스, 세라마이드엔에스, 세라마이드에이피, 세라마이드이오피, 글라이신, 글루타믹애씨드, 라이신, 류신, 메티오닌, 발린, 세린, 소듐하이알루로네이트크로스폴리머, 시스테인, 아스파틱애씨드, 아이소류신, 알라닌, 알지닌, 타이로신, 트레오닌, 페닐알라닌, 포타슘하이알루로네이트, 프롤린, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 히스티딘, 펜틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254553&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2,"스피큘 (하이드롤라이즈드해면), 세라마이드"
2026-05-01,oliveyoung,신상품순,3,퓨어그램 오리진 부스터샷 100 앰플 30ml,퓨어그램,30ml,,,10000,,,"하이드롤라이즈드해면, 하이알루로닉애씨드, 세라마이드","정제수, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 소듐폴리아크릴레이트, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아이소부텐, 하이드록시아세토페논, 잔탄검, 하이드롤라이즈드해면, 에틸헥실글리세린, 아데노신, 솔비탄올리에이트, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 마카다미아씨오일, 카프릴릭/카프릭트라이글리세라이드, 바오밥나무씨오일, 하이드로제네이티드레시틴, 세라마이드엔피, 소듐하이알루로네이트, 세라마이드에이에스, 세라마이드엔에스, 세라마이드에이피, 세라마이드이오피, 글라이신, 글루타믹애씨드, 라이신, 류신, 메티오닌, 발린, 세린, 소듐하이알루로네이트크로스폴리머, 시스테인, 아스파틱애씨드, 아이소류신, 알라닌, 알지닌, 타이로신, 트레오닌, 페닐알라닌, 포타슘하이알루로네이트, 프롤린, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 히스티딘, 펜틸렌글라이콜, 소듐아세틸레이티드하이알루로네이트",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254438&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3,"스피큘 (하이드롤라이즈드해면), 히알루론산, 세라마이드"
2026-05-01,oliveyoung,신상품순,4,쥬베룩 PDLLA 리파이닝 퍼스트 에센스 150ml,쥬베룩,150ml,39000,7%,36300,5,30,"아텔로콜라겐, 펩타이드, PHA","정제수, 프로판다이올, 글리세린, 나이아신아마이드, 펜틸렌글라이콜, 1,2-헥산다이올, 스핑고모나스발효추출물, 댑싸리추출물, 하이드롤라이즈드해면, 백미꽃추출물, 접시꽃추출물, 하이드롤라이즈드콜라겐(10ppb), 하이드롤라이즈드하이알루로닉애씨드, 아텔로콜라겐(0.1ppb), 다이에톡시에틸석시네이트, 글루코노락톤, 트라이프로필렌글라이콜, 폴리아크릴레이트크로스폴리머-6, 트로메타민, 하이드록시에틸셀룰로오스, 에틸헥실글리세린, 아데노신, 소듐시트레이트, 시트릭애씨드, 판테놀, 부틸렌글라이콜, 바이오사카라이드검-1, 베타-글루칸, 토코페롤, 카프릴로일살리실릭애씨드, 살리실릭애씨드, 소듐락테이트, 글라이콜릭애씨드, 파이틱애씨드, 폴리솔베이트20, 폴리락틱애씨드(1ppb), 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 아세틸헥사펩타이드-8, 아스코빅애씨드폴리펩타이드, 아세틸옥타펩타이드-3, 아세틸테트라펩타이드-2, 아세틸테트라펩타이드-3, 아세틸테트라펩타이드-5, 아세틸테트라펩타이드-9, 카르노신, 카퍼트라이펩타이드-1, 노나펩타이드-1, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-5, 다이소듐이디티에이, 카보머",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254332&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=4,"아텔로콜라겐, 펩타이드, PHA (폴리하이드록시애씨드)"
2026-05-01,oliveyoung,신상품순,5,쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g,쥬베룩,20g,62000,7%,57700,5,49,"폴리락틱애씨드, 아텔로콜라겐, 펩타이드","정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 자일리틸글루코사이드, 흑효모발효물, 자일리톨, 자일로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드해면, 하이알루로닉애씨드, 하이드롤라이즈드콜라겐(99.95ppb), 아텔로콜라겐(0.9995ppb), 판테놀, 베타인, 펜틸렌글라이콜, 하이드록시에틸우레아, 트로메타민, 다이페닐다이메티콘, 트라이에틸헥사노인, 에틸헥실글리세린, 폴리락틱애씨드(500,000ppb), 아데노신, 셀룰로오스검, 다이포타슘글리시리제이트, 안하이드로자일리톨, 프로판다이올, 하이드로제네이티드레시틴, 바이오사카라이드검-1, 시트릭애씨드, 소듐하이알루로네이트크로스폴리머, 소듐파이테이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 하이드롤라이즈드글라이코사미노글리칸, 베타-글루칸, 벤질글라이콜, 팔미토일트라이펩타이드-5, 토코페롤, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 팔미토일펜타펩타이드-4, 소듐락테이트, 스쿠알란, 폴리솔베이트20, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 아세틸테트라펩타이드-5, 아스코빅애씨드폴리펩타이드, 아세틸옥타펩타이드-3, 아세틸테트라펩타이드-2, 아세틸테트라펩타이드-3, 아세틸테트라펩타이드-9, 카르노신, 노나펩타이드-1, 카보머",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254331&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5,"폴리락틱애씨드 (PLA), 아텔로콜라겐, 펩타이드"
2026-05-01,oliveyoung,신상품순,6,[리뉴얼/속수분쏙] 리얼베리어 워터리 히알 세럼 50ml 기획 (+20ml),리얼베리어,50ml,26000,27%,18900,,,히알루론산,"정제수, 프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 메틸프로판다이올, 펜틸렌글라이콜, 판테놀, 글라이코실트레할로오스, 하이드로제네이티드 스타치하이드롤리세이트, 폴리글리세릴-10라우레이트, 알란토인, 베타인, 하이드록시아세토페논, 카보머, 알지닌, 잔탄검, 엑토인, 세라마이드엔피, 스피어민트 잎 오일, 스피어민트 추출물, 하이드로제네이티드 레시틴, 필리핀 오렌지 껍질 오일, 유칼립투스 잎 오일, 센티드 제라늄 꽃 오일, 타임오일, 수크로오스 스테아레이트, 폴리글리세릴-10스테아레이트, 리놀레익 애씨드, 피토스테롤, 스쿠알란, 바추 잎 추출물, 소듐하이알루로네이트 (6 ppm), 미리스토일/팔미토일 옥소스테아라마이드/아라카마이드 엠이에이, 세라마이드에이피, 세라마이드엔지, 시어버터, 올리브오일, 세라마이드에이에스, 세라마이드엔에스, 세라마이드이오피, 세라마이드이오에스, 글라이코스핑고리피드, 소듐디엔에이, 칸디다 봄비콜라/글루코오스/메틸 레이프씨데이트 발효물, 글라이신, 글라이코리피드, 글루타믹애씨드",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254295&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=6,히알루론산
2026-05-01,oliveyoung,신상품순,7,[기미/잡티/흔적 세럼] 레이어랩 기미흔적 클리어 세럼 30ml,레이어랩,30ml,,,47000,,,"나이아신아마이드, 트라넥사믹애씨드","정제수, 나이아신아마이드(7%), 글리세레스-26, 프로판다이올, 다이프로필렌글라이콜, 트라넥사믹애씨드(3%), 1,2-헥산다이올, 아스코빌글루코사이드(2%), 펜틸렌글라이콜, 글리세린, 에칠아스코빌에텔(1%), 소듐파이테이트, 토코페롤, 카르노신, 베타-글루칸, 황련뿌리추출물, 소듐시트레이트, 하이드록시아세토페논, 하이드록시에틸셀룰로오스, 에틸헥실글리세린, 부틸렌글라이콜, 아데노신, 잔탄검, 시트릭애씨드, 카프릴릴글라이콜",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254209&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=7,"나이아신아마이드, 트라넥사믹애씨드"
2026-05-01,oliveyoung,신상품순,8,[토이 스토리 5] 이니스프리 레티놀 시카 흔적 앰플 30ml 리필 기획 토이 스토리 5 에디션,이니스프리,30ml,52000,47%,27400,4.8,"14,059","레티놀, 시카, 리페어","정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 다이부틸아디페이트, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 해바라기씨오일, 콜레스테롤, 알란토인, 돌콩오일, 토코페롤, 토코페릴아세테이트, 소듐메틸스테아로일타우레이트, 프로판다이올, 당근추출물, 에틸헥실글리세린, 아데노신, 아시아티코사이드, 마데카식애씨드, 녹차씨추출물, 아시아틱애씨드, 레티놀(500IU/g), 스테아릴글리시레티네이트, 하이알루로닉애씨드, 만니톨, 세라마이드엔피, 베타-글루칸, 베타-카로틴, 피토스핑고신, 비에이치티, 살리실릭애씨드, 아세틸테트라펩타이드-11",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254112&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=8,"레티놀, 병풀추출물 (센텔라아시아티카)"
2026-05-01,oliveyoung,신상품순,9,[토이 스토리 5] 이니스프리 비타민C 그린티 엔자임 세럼 30ml 리필 기획 토이 스토리 5 에디션,이니스프리,30ml,49000,45%,26860,4.8,"6,735","비타민C, 녹차추출물, 효소","정제수, 프로판다이올, 1,2-헥산다이올, 글리세린, 3-O- 에틸아스코빅애씨드(20,000 ppm), 부틸렌글라이콜, 락토바실러스발효용해물, 스쿠알란, 해바라기씨오일, 덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 카프릴릭/카프릭트라이글리세라이드, 트로메타민, 잔탄검, 글루코노락톤, 만다린껍질추출물, 판테놀, 나이아신아마이드, 알란토인, 당근추출물,하이알루로닉애씨드, 펜틸렌글라이콜, 소듐메타포스페이트, 실리카다이메틸실릴레이트, 사이클로덱스트린, 토코페롤, 에틸헥실글리세린, 마데카소사이드, 하이드로제네이티드폴리(C6-20올레핀), 프로테아제(150 ppm), 아스코빌테트라이소팔미테이트(100 ppm), 글루타티온, 서양톱풀추출물, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 베타-카로틴, 페룰릭애씨드",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254111&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=9,"비타민C (아스코르빅애씨드 계열), 녹차추출물 (카멜리아시넨시스)"
2026-05-01,oliveyoung,신상품순,10,[포켓몬 에디션] VT 피디알엔 에센스 100 30ml 더블 기획 (+포켓몬 장바구니 키링),VT,30ml,67500,47%,35500,4.9,"5,506","판테놀, 아데노신, 세라마이드엔피","정제수, 아이소프로필미리스테이트, 카프릴릭/카프릭트라이글리세라이드, 세틸에틸헥사노에이트, 글리세린, 프로판다이올, 나이아신아마이드, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 피이지-30다이폴리하이드록시스테아레이트, 폴리글리세릴-3다이아이소스테아레이트, 1,2-헥산다이올, 토코페롤, 하이드록시아세토페논, 해바라기씨오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 아데노신, 세라마이드엔피, 바오밥나무씨오일, 다이소듐이디티에이, 하이드로제네이티드레시틴, 알란토인, 스쿠알란, 판테놀, 폴리글루쿠로닉애씨드, 세라마이드엔에스, 세라마이드에이에스, 세라마이드이오피, 세라마이드에이피, 산양삼추출물, 소듐디엔에이(0.5ppm)",html,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254065&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=10,"판테놀 (비타민B5), 아데노신, 세라마이드"
