date,platform,goodsNo,sort_type,rank,main_ingredients,main_ingredients_kor,product_name,product_name_clean,review_count,review_rating,skin_type,review_text,url
2026-05-03,oliveyoung,A000000254553,신상품순,2,,,퓨어그램 오리진 부스터샷 300 앰플 30ml,퓨어그램 오리진 부스터샷 300 앰플 30ml,,,,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254553&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=2
2026-05-03,oliveyoung,A000000254438,신상품순,3,,,퓨어그램 오리진 부스터샷 100 앰플 30ml,퓨어그램 오리진 부스터샷 100 앰플 30ml,,,,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254438&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=3
2026-05-03,oliveyoung,A000000253635,신상품순,15,,,차앤박 더마앤서 포어 퍼밍 NMN PDRN 앰플,차앤박 더마앤서 포어 퍼밍 NMN PDRN 앰플,,,,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253635&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=15
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,5.0,복합성/여름쿨톤/잡티/탄력,기초는 프로폴리스 라인부터 코스알엑스로 정착했는데 요즘은 기능성이 필요해서 펩타이드 스킨부스터랑 비타민23 등 잘 쓰고 있었어요~! 근데 이번에 펩타이드 라인에 세럼이랑 크림이 추가됐더라구요 또 신상 못 참는 코덕.. 여름이라 늘어지는 세로모공 때문에 고민도 되고 해서 바아로 구매해봤습니당 일단 색상은 파란색이고 약간 밀도감 있는 쫀득한 제형이에요 얼굴에 도포하면 빠르게 잘 흡수되고 흡수되면서 파란색도 투명해져요 ㅋㅋ 아침 루틴으로도 부담 없이 바를 수 있어요 이름에 플럼핑이 왜 들어갔나 했는데 바르고 나면 피부가 플럼핑된 것처럼 윤광 돌고 약간 쫀득해집니다 꾸준히 발라주면 모공 줄이는 데 도움 될 것 같아요!! 펩타이드 토너가 다른 제품 흡수 도와준대서 사용하던 건데 꽤 사용감이 좋았거든요 펩타이드 라인으로 업그레이드 돼서 더 잘 활용할 수 있겠어요 잘 써보고 또 한 달 리뷰 쓸게요~~,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,5.0,건성/웜톤/잡티/미백,조금 꾸덕?한 느낌인데 촉촉하고 오랫동안 지속되는거 같아서 나이트용으로 추천해요! 피부결에 좋으면 좋겠어요ㅎㅎ 꾸준하게 사용해야 알거 같지만!,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,5.0,민감성/쿨톤/잡티/주름,원래 코스알엑스 스킨부스터 잘 쓰고 있었는데 블루 펩타이드 세럼 새로 나왔다길래 파란 색이 피부를 진정시켜줄것 같은 느낌이 들어 구매해봤어요. 같이 쓰니까 시너지 제대로네요! 촉촉하고 피부가 탱탱해보여요 이거 사실분은 스킨부스터 꼭 같이 써보세요 궁합 좋아요!!!,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,4.0,복합성/봄웜톤/잡티/미백,깅세럼 @미백 나이아신아마이드 들었고 수분성분들 모공 탄력에 좋은 몃가지 펩타이드류 들어있어요 바쿠치올 @바쿠치올이란. 식물입니다. 이식물에서 추출한성분인데 레티놀 같은 기능의 성분입니다 허나 레티놀 처럼 주름 미백 탄력에 확실한 효과는 없습니다 장점이 빛에 상관없는지라 관리용으로 낮에 쓸수 있어요 @단점이 하나 있는데 눈시림이 있어요 눈에 민감해서 자세히 지금보니 성분에 에탄올 때문인듯 하네요 @결론 촉촉하고 피부타입상관없이 쓸수 있고 목 손 얼굴등 다 발르는걸. 추천하고 기존에 미백 ㆍ주름 ㆍ수분 에센스나 앰플 있으면 섞어쓰면 더 좋습니다 (집에 쌓아놓은분들 가벼운 제형부터 바르시면 되요) 모두 피부 다 사용가능한 제품입니다 촉촉합니다^^,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,5.0,건성/웜톤/미백/각질,바쿠치올이 식물성 레티놀이라길래 민감 복합성피부라 잘 맞을것 같아서 구매해봤어요 플럼프가 직접적으로 있지는 않아서 피부에 편안하게 잘 흡수되네요. 처음에 바를때 수분감? 적당히 시원해서 여름에 바르기 좋아서 잘 바르게 될것 같아요,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,5.0,복합성/쿨톤/미백/주름,바쿠치올이 자극이 적고 주름개선에 탁월하다해서 타사브랜드 크림사용중이엇어요 에센스는 그냥 잇던거 바르고 잇엇는데 똑 떨어질거같길래 알아보다가 코스알엑스에서 블루펩타이드 바쿠치올 세럼이 나온다길래 사봣죠 말모 너무 좋아요 쓰던제품이랑 이질감없이 잘맞구요 화장할때 프라이머 생략해도 쫀쫀한 느낌? 향도 딱히 없어서 거부감도 없구요 코스알엑스는 대기업이라 그런지 항상 새제품들이 기대이상이예요,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
2026-05-03,oliveyoung,A000000255624,신상품순,1,,,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,코스알엑스 더 블루 펩타이드 바쿠치올 플럼프 글로우 세럼 50ml,48,5.0,민감성/봄웜톤/트러블/민감성,"기존에 코스알엑스 펩타이드 라인 스킨부스터를 잘 사용하고 있어서 같은 라인으로 나온 블루 펩타이드 세럼도 구매해봤습니다. 평소 탄력이나 피부결 관리에 관심이 있어서 스킨부스터랑 같이 사용하면 더 괜찮을 것 같았습니다. 제형은 쫀쫀한 점도가 느껴지는데 무겁거나 답답하지 않고 피부에 산뜻하게 스며드는 편입니다. 스킨부스터 바른 다음 이어서 사용해도 밀리거나 겉도는 느낌 없이 잘 어우러졌고, 같이 쓰니까 피부결이 좀 더 매끈하게 정돈되는 느낌이 들었습니다. 블루 펩타이드와 바쿠치올이 들어간 제품이라 데일리로 부담 없이 사용하기 괜찮았고, 펩타이드 본연의 색상인 비비드 블루 컬러도 특징 있게 느껴졌습니다. 기존에 쓰던 제품이랑 같이 사용하니 전체적으로 더 탄탄하게 관리되는 느낌이라 만족하면서 사용하고 있습니다.",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255624&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=1
