product_name,review_count,review_rating,skin_type,review_text,url
비타씨 오일 캡슐 세럼 30 ml,2,5,건성,매장구매 바를때 헉~ 살짝 기름지려나? 했는데 의외로 산뜻하게 채워주면서 흡수되네요. 본셉 비타라인 꾸준히 쓰는중인데 잡티가 없어졌다기보다는 전체적인 톤이 맑아졌어요. 이 제품도 그런 느낌이라 넘 좋네요. 츄라이 츄라이,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1077186&recmYn=N
비타씨 오일 캡슐 세럼 30 ml,2,5,지성,매장구매 생각보다 좋은데요?,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1077186&recmYn=N
비타씨 선에센스 35 ml,1,3,건성,매장구매 본셉 비타라인 넘 좋아해서 매장에서 보자마자 샀어요 수부지~건성 사이인 저에게는 살짝 기름지고 약간 건조해요 근데 발림성이나 향기는 좋고 순해요 출근길에 발랐는데 파우더 살짝 두드려주니 낫네요 로션이나 크림 살짝 줄이고 이걸로 발라보면 나을듯하기도.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1077188&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,건성,향이달콤한과일향이나고바르면광이돌긴하는데양이작아서아숩네요ㅠ,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,중성,화잘먹템 요즘 많아져서 넘 행복합니다. 광채가 아주 실키할것같아 화장후가 기대돼요.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,중성,매장구매 새로 나온 제품 궁금해서 구매해요 기대되어요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,건성,"매장구매 유투브에서 연*프렙이랑 비슷하다고 해서 구매하고싶었는데 매징픽업은 아직안뜨고, 택배가능이던데 제가간 매장에 있어 구매했는데 생각보다 더좋응거같아요! 엄청 촉촉한건아닌데 픽싱되니 되려 머리카락들러붙음등이 덜할거같아 오히려좋았아요! 지금날씨에 쓰기더좋은거같구요 저는 다쓰면 재구매 할거같아요!!",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,중성,다이소 제품 좋아요 만족합니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,건성,촉촉해요 발림성 좋아요~,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,5,건성,세럼 색넘예쁘고 촉촉하게 발리고 좋음,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,4,중성,광채라인~~ 순서대로 바르고 있음돠ㅋㅋ,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,4,건성,나쁘지 않은 거 같아요. 잘 쓰고 있어요.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채프렙 세럼 30 ml,36,3,중성,예전에 딘시 썬스틱 잘 썼던적 있어 믿고 이제품 구매해봤는데 일단 향이 완전 불호ㅠㅠ 얼굴 에센스에 애들 헤어크림에서나 나는 듯한 완전 달달구리한 향이 너무나 당황스러움..스킨케어에 중요하지않은 이런 향은 안넣었음 하네요. 보습이나 느낌은 평타이상에 컬러감도 오로라빛 예쁜데 향이 정말 아쉬움.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079086&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,건성,"⭐️⭐️⭐️⭐️⭐️ 딘시 더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120ml 사용 후기입니다 😊 제형이 물처럼 가볍게 흐르는 타입이라 그냥 쓰기보다는 쿠×에서 따로 펌핑 용기 구매해서 옮겨 담아 쓰고 있는데, 이게 훨씬 편하고 찰떡이에요. 양 조절도 쉽고 위생적으로 사용할 수 있어서 만족스럽습니다. 흡수도 빠른 편이고 바르고 나면 피부가 촉촉하게 정돈되는 느낌이라 데일리로 부담 없이 쓰기 좋아요. 여러 번 덧발라도 끈적임 없이 가볍게 레이어링 되는 점도 마음에 듭니다. 요즘 기초 첫 단계로 잘 사용하고 있는 제품이에요 👍",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,건성,만족합니다 저렴한가격에 좋은상품 좋아요~,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,중성,매장구매 새로 나온 제품 궁금해서 구매해요 기대되어요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,건성,이런 에센스 오랜만에 사용해보는데 촉촉하고 좋음,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,4,건성,"에센스인데, 너무 믉은듯. 스킨이나 마찬가지",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,4,중성,에센스안에 반짝반짝 거리는게 있는거 같아요 그래서 그런가 바르고 나면 진짜 빛이 나는거 같구요ㅋㅋ,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,지성,매장구매 감사합니다 처음 써봅니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
더글로우 오로라 NMN 피디알엔 광채 퍼스트 에센스 120 ml,19,5,중성,빠른 배송 감사합니다 감사합니다 잘받았습니다 감사합니다 잘써볼게요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1079085&recmYn=N
